,Question,A,B,C,D,Answer,Subject
174,Ni hicho kahi ya vitu vithurizazho tsini khakhilolwa here kipingamizi cha kusambaa kwa uvumbuzi?,Mtandao,Hatua,Vipingamizi zha kitamaduni,Kubujwa ni Serikali,A,high_school_geography
66,"Fugaluzaho idadi yosini ya makosa ga majezo mpaka asilimia ya karakara, au kinyumeche, funahenza magaluzi ga aina yani.",Mstari,Gasigo ga mstari,Gakudzipinda khwenye mstari,Gahamhwenga,A,professional_psychology
62,"Nisaini ya dhukani na dawa ya Lipitor inamanyikana kuhunguza viwango zha cholesterol kahiza damu. Kahiza utafiti mumhwenga wa upofu mara mbiri, Lipitor yakira kuriko niasini, 95% ya muda wa kudziamini makadhirio ga kana nyinji kahi za wastani wa kuhunguza kiwango cha cholesterol were ni (18,41). Ni hicho kahi ya vivi vithurizazho ambazho ni hithimisho rifaaro?","Niasini inahunguza cholesterol khwa wastani wa pointsi 18, wakathi Lipitor inahunguza cholesterol wastani wa pointsi 41.",kuna uwezekano wa 0.95 kukala Lipitor inashinda niasini kahiza kuhunguza kiwango cha cholesterol cha mutu yoyosi.,Kuna uwezekano wa 0.95 kukala Lipitpr inashinda niasini khwa angalau pointsi 23 kahiza kuhunguza kiwango cha cholesterol cha mutu yoyosi.,Khahana kahiza ya virizhoho dzulu.,D,high_school_statistics
119,Noam Chomsky na B. F. Skinner makosana dzulu ya ahoho mapatazho lugha. Ni hicho kahiza dhana zizi zidzazo ambazo zinafaa zaidhi khwa tofauti kahiza dhana zao?,phonemes,morphemes,dhana ya uhusiano wa lugha,umiliki wa viyera zha lugha,D,high_school_psychology
47,"Kulingana na Huemer, hatha kala mahumizi ga madawa ga kurezha unadhuru asena, famili na mahusiano mangine ga mutu,",vivi bado kavidima kuhalalisha marufuku ga dawa.,vivi vingehalalisha marufuku ga dawa.,vivi vinadima kuhalalisha marufuku ga madawa ga kurezha kala mahumizi ga madawa ga kurezha gangekala na  uwezo m'bomu wa kusababisha madhara gaga.,vivi vinadima thu kuhalalisha marufuku ga madawa ga kurezha kala mahumizi ga madawa gaga gakurezha gana uwezekano m'bomu wa kuhendesha aina iii ya madhara kuriko shughuli nyingine zirizopighwa marufuku.,A,moral_disputes
4,Ni hali yani ambayo mifuko iriyofunghwa inahumika?,Mkongo ana pato ra nusu muundo ama ra kilowevu.,Mkongo ana colostomy.,kahiza kipindi kicho kicho baada ya kupashula.,Mkongo ana urostomy.,B,clinical_knowledge
631,Dzina ra mhoho anayeonekana kwenye katuni na vitsekesho na Popeye Sailor ni hani?,Pun'kin,Lamikins,Suga'baby,Swee'pea,D,miscellaneous
1015,"Baraza kulu ra mahakama kulu ra shirikisho raifwa ili kuchunguza madai ga hongo ra serikali ya kijeni na mshauri maalum wa Raisi. Baraza kulu ra mahakama rakala rikichunguza juhudi za serikali ya kijeni ili kupata usafirishaji wa ndege za usafiri, ambazo zazuliywa ni Idara ya Jimbo. Idara ya Haki were inajaribu kubainisha kala serikali ya kigeni were yamboza hongo khwa mshauri wa serikali ya U.S. ili kuhakikisha ndege zizo za usafiri zahumhwa. Mshauri yuyo maalum wamboza ushahidhi mbere za baraza kulu ra mahakama kukala iye na Raisi were mana mikutano kadhaa na balozi wa serikali ya kijeni tsi ya Marekani. Waamba kahi ya vikao vizho majadili shidha kahi ya mkowa wao khwa jumla. Tha vizho wakahala kuhusika khwa namna yoyosi kahiza juhudi za serikali ya kijeni kupata usafirishajii wa ndege zizo. Wiki mbiri baada ya mshauri yuyo maalum kumboza ushahidhi wa khwakhwe, baraza kulu ra mahakama rauja shthaka, rikimshthaki iye na ahendi akazi angine airi a ahenzi a kazi a Raisi khwa njama ya hongo na kurya njama ya kukenga serikali ya U.S. Kisha aendeshae mashthaka maalum watsagulwa ni Idara ya Haki kuthayarisha kesi ya serikali. Baada ya henzezo ra mwendesha mashthaka maalum, hathi ya mwiho yambozwa ikimwelekeza Raisi kufikisha kumbukumbu za mikutano ya khwakhwe na mshauri maalum na balozi wa serikali ya kijeni. Mwendesha mashthaka maalumu wadima kumanya tharehe kamili za mikutano kukirira rekodi za tsagulo ambazo were zaihishwa haho kare. Raisi wamboza nakala kadhaa ambazo zahaririwa za masumuriro gago. Siku iyo iyo, wakili wa Raisi wawasilisha mavoyo ga kufutwa khwa hathi ya wiho wa kisheria, akidai upendheleo kamili wa mhendaji. Ni hiyo kahiza zithuirizazo ni kauli sahihi zaidhi kuhusiana na madai ga Raisi ga upendheleo wa uhendaji?","Tsini ya fundisho ra mgazho wa mamlaka, mahakama ga shirikisho khagana mamlaka ga kupeleleza madai ga marupurupu ga uhendaji wa Raisi.",Haja ya usiri wa masumuriro ga kiwango cha dzulu indadumisha fursa kamili ya raisi isiyo na sifa ya kutsohusihwa na mchakato wa mahakama kila mara.,Kifungu cha III khakhipa mahakama ga shirikisho mamlaka ga kusuluhisha mizozo ya ndani ya tawi.,"Kifungu cha II khakhimpa Raisi upendheleo kamili, uso na sifa ya kuzulia ushahidhi kumbola kwa mashtaka ga jinai. ",D,professional_law
1418,"Mushthakiwa waghwirwa kahiza uwanja wa ndege wakathi suthi thithe ariyokala adzaibeba yapatikana na heroini. Mushthakiwa, ambaye khapingire uhalali wa upekuzi uo wa uwanja wa ndege, wavugulirwa mashthaka ga kupatikana na heroin. Kahiza kesi iyo mushthakiwa wamboza ushahidhiwe khwa niambaye na kuamba kukala koti riro were ni ra mpenziwe ambaye were makighwirana na mushthakiwa arihoghwirwa. Mpenzi iye wafa kahiza ajali ya kuruka angani wiki mbiri kabla ya kesi ya mshthakiwa. Zaidhi ya gago, mushthakiwa wadai kukala hathakala were ni muraibu wa heroini, were khahumirire heroini yoyosi kahiza kipindi cha miaka mihahu idziokira. Akihojiwa, mwendesha mashthaka wamumala mushthakiwa kukunza mikono ya shatiye na kunyesa mikonoye ili kuona kala were kuna alama za shindano. Voyo riri ni",risirokubalika khwani mushthakiwa ana haki dhidi ya kudzingiza hathiani.,"risirokubalika, khwa sababu thamani ya uwezekano inazidhirwa khwa kiasi kibomu na hathari ya tsukuzi isiyo na haki.","inaruhusiwa, khwa sababu ushahidhi uo ni muhimu khwa uaminifu wa mushthakiwa.","inaruhusiwa, khwa sababu mushthakiwa wausa upendeleowe dhidi ya kudzihukumu khwa kuhala misimamo.",C,professional_law
581,"Mwanafunzi wa sikuli ya sheria vivi madzuzi wavoya nafasi ya kisheria kahiza kampuni ya uwakili. Mshirika mkulu kahiza kampuni ya uwakili wawasiliana na profesa kahiza sikuli ya sheria akitafuta maelezo kuhusu sifa za muhitimu iye. Profesa wajibu, â€œUsipothoshwe na iyo Aâ€™ niremupa mhitimu wa sheria ya burudani. Baadaye nagundua kukala wapata dhalaja riro khwa kukenga. â€œMhitimu iye wahokera barua kumbola khwa kampuni ya uwakili ikimâ€™manyisa khwamba khafahire bule kukala mhwanachama kahiza utamaduni wa kifahari wa kampuni iyo. Baada ya mtihani kuhokera barua ya kukahalwa, wampigira simu msirika mkuli kumuza ni khwa noni khafaha kuajiriwa. Yuyahu mshirika mkulu wamweleza arichonena profesa kisha waamba, â€œKafuajiri matapelii ambao ni mabubu kiasi cha kughwirwaâ€ Muhitimu anamshthaki profesa khwa kumushthaki muhitimu kukala tapeli. Ikikala profesa anadai ujeri here uhehezi, khapaswa kuruhusiwa kumboza ushahidhi unyesao khwamba","muhitimu wahenda, khwa ujeri, kukenga mutihani kahiza kilasi cha sheria ya burudani.",profesa mungine wamwambira khwamba mhitimu were wakenga khwenye mtihani wa mwisho wa sheria ya admiralty.,matokeo ga sikuli ga sheria ganyesa kukala muhitimu wafikisha karathasi iriyoiywa kahiza muhtasari wa korti.,sifa miongoni mhwa anafunzi anzie muhitimu were ni khwamba wakenga mara khwa mara khwenye mitihani ya sikuli ya sheria.,B,professional_law
