,Question,A,B,C,D,Answer,Subject,
174,Kurš no šiem elementiem NETIEK uzskatīts par šķērsli inovāciju izplatīšanai?,Internets,attālums,Kultūras šķēršļi,Valdības iejaukšanās,A,high_school_geography,174high_school_geography
66,"Konvertējot kopējo kļūdu skaitu testā uz procentuālo pareizību vai otrādi, mēs veicam kāda veida transformāciju",Lineāraquadratic filter mode,Nelineārs,Līklīnija,Uzkrāts,A,professional_psychology,66professional_psychology
62,"Ir zināms, ka gan bezrecepšu niacīns, gan recepšu zāles Lipitor pazemina holesterīna līmeni asinīs. Vienā dubultmaskētā pētījumā Lipitor pārspēja niacīnu. Vidējā holesterīna līmeņa pazemināšanas atšķirības 95% ticamības intervāla novērtējums bija (18, 41). Kurš no šiem secinājumiem ir pamatots?","Niacīns pazemina holesterīna līmeni vidēji par 18 punktiem, bet Lipitor pazemina holesterīna līmeni vidēji par 41 punktu.","Pastāv 0,95 varbūtība, ka Lipitor pārspēs niacīnu jebkura indivīda holesterīna līmeņa pazemināšanā.","Pastāv 0,95 varbūtība, ka Lipitor pārspēs niacīnu vismaz par 23 punktiem, samazinot jebkura indivīda holesterīna līmeni.",Nevienā no minētajām,D,high_school_statistics,62high_school_statistics
119,"Noams Čomskis un B. F. Skiners nepiekrita tam, kā bērni apgūst valodu. Kurš no šiem jēdzieniem ir visatbilstošākais atšķirībām starp to teorijām?",fonēmas,morfēmas,lingvistiskās relativitātes hipotēze,valodas apguves ierīce,D,high_school_psychology,119high_school_psychology
47,"Saskaņā ar Huemer teikto, pat ja narkotiku lietošana kaitē cilvēka draugiem, ģimenēm un citām attiecībām,",tas joprojām neattaisnotu narkotiku aizliegumu.,tas attaisnotu narkotiku aizliegumu.,"tas attaisnotu narkotiku aizliegumu tikai tad, ja narkotiku lietošana varētu radīt šo kaitējumu.","tas attaisnotu narkotiku aizliegumu tikai tad, ja narkotiku lietošana varētu radīt šāda veida kaitējumu vairāk nekā citas aizliegtas darbības.",A,moral_disputes,47moral_disputes
4,Kādā situācijā tiek lietoti slēgti maisiņi?,Pacientam ir daļēji veidota vai šķidra izvade.,Pacientam ir kolostoma.,Tūlītējā pēcoperācijas periodā.,Pacientam ir urostomija.,B,clinical_knowledge,4clinical_knowledge
631,"Kā sauc mazuli, kurš parādās karikatūrās un komiksos kopā ar Popeye the Sailor?",Punkin,Lamikins,Suga 'baby,Swee 'pea,D,miscellaneous,631miscellaneous
1015,"Tika sasaukta federālā lielā žūrija, lai izmeklētu ārvalstu valdības iespējamo prezidenta īpašā padomnieka kukuļošanu. Lielā žūrija pārbaudīja ārvalstu valdības centienus panākt transporta lidmašīnu piegādi, ko embargo noteica Valsts departaments. Tieslietu departaments centās noskaidrot, vai ārvalstu valdība ir piedāvājusi kukuļus īpašajam padomniekam un citiem ASV valdības locekļiem, lai nodrošinātu transporta lidmašīnu piegādi. valsts padomnieks liecināja lielajai žūrijai, ka gan viņam, gan prezidentam bija vairākas konferences ar ārvalstu valdības vēstnieku Amerikas Savienotajās Valstīs. Viņš norādīja, ka šajās sanāksmēs viņi apsprieda problēmas savā reģionā kopumā. Tomēr viņš noliedza jebkādu iesaistīšanos ārvalstu valdības centienos nodrošināt transporta lidmašīnu piegādi. Divas nedēļas pēc īpašā padomnieka liecības, lielā žūrija atgrieza apsūdzību, apsūdzot viņu un divus citus Pre sidenta darbinieki ar sazvērestību, lai veiktu kukuļošanu un sazvērestību, lai apkrāptu ASV valdību. Pēc tam Tieslietu departaments iecēla īpašu prokuroru, lai sagatavotu valdības lietu. Pēc īpašā prokurora ierosinājuma tika izdota pavēste, kurā prezidentam tika uzdots sagatavot protokolu par tikšanos ar ārvalstu valdības īpašo padomnieku un vēstnieku. Īpašais prokurors varēja noteikt precīzus sapulču datumus, ieceļot REC kuri iepriekš bija saņēmuši pavēsti. Prezidents publiskoja vairākus rediģētus šo sarunu atšifrējumus. Tajā pašā dienā prezidenta advokāts iesniedza priekšlikumu atcelt tiesas pavēsti, pieprasot absolūtu izpildvaras privilēģiju. Kurš no šiem apgalvojumiem ir visprecīzākais attiecībā uz prezidenta prasību par izpildvaras privilēģijām?",Saskaņā ar varas dalīšanas doktrīnu federālajai tiesu varai nav pilnvaru pārskatīt prezidenta apgalvojumu par izpildvaras privilēģijām.,Nepieciešamība ievērot augsta līmeņa saziņas konfidencialitāti saglabās absolūtu prezidenta privilēģiju - imunitāti pret tiesvedību visos gadījumos.,III pants nepiešķir federālajām tiesām pilnvaras izšķirt nozares iekšējos strīdus.,"II pants nepiešķir prezidentam absolūtu, nekvalificētu privilēģiju aizturēt pierādījumus no kriminālvajāšanas.",D,professional_law,1015professional_law
1418,"Apsūdzētais tika arestēts lidostā, kad tika konstatēts, ka nelielais čemodāns, ko viņš nesa, satur heroīnu. Atbildētājs, kurš neapstrīdēja lidostas kratīšanas likumību, pēc tam tika saukts pie atbildības par heroīna glabāšanu. Tiesā atbildētājs liecināja savā vārdā un teica, ka čemodāns pieder viņa draudzenei, kas pavadīja atbildētāju, kad viņš tika arestēts. Draudzene nomira izpletņlēkšanas negadījumā divas nedēļas pirms apsūdzētā tiesas. Turklāt neveiksme ndants liecināja, ka, lai gan viņš bija bijušais heroīna atkarīgais, viņš pēdējos trīs gadus nav lietojis nekādu heroīnu. Krusteniskajā pārbaudē prokurors lūdza atbildētāju satīt krekla piedurknes un izstādīt rokas, lai redzētu, vai nav adatas zīmju. Šis lūgums ir","apstrīdams, jo atbildētājam ir privilēģija neliecināt pret sevi.","apstrīdams, jo pierādījuma spēku būtiski atsver netaisnīgu aizspriedumu draudi.","pieļaujams, jo šādi pierādījumi ir būtiski atbildētāja uzticamībai.","pieļaujams, jo atbildētājs, iestājoties tiesā, atteicās no savas privilēģijas pret pašapsūdzību.",C,professional_law,1418professional_law
581,"Nesenais juridiskās skolas absolvents pieteicās juridiskajam amatam advokātu birojā. Zvērinātu advokātu biroja vecākais partneris sazinājās ar juridiskās skolas profesoru, lai iegūtu informāciju par absolventa kvalifikāciju. Profesors atbildēja: ""Neļaujiet sevi maldināt, ka A' es pasniedzu absolventam izklaides likumā. Vēlāk es uzzināju, ka viņš ir ieguvis atzīmi krāpjoties. ""Absolvents drīz saņēma vēstuli no advokātu biroja, paziņojot, ka viņš nav piemērots, lai kļūtu par biedru prestižajā tradīcijā firmas. Pēc tam, kad absolvents saņēma noraidījuma vēstuli, viņš piezvanīja vecākajam partnerim, lai noskaidrotu, kāpēc viņš nav piemērots nodarbinātībai. Vecākais partneris pastāstīja viņam, ko profesors bija teicis, un pēc tam paziņoja: ""Mēs nepieņemam krāpniekus, kuri ir pietiekami stulbi, lai tiktu pieķerti. ""Absolvents ceļ prasību pret profesoru par goda un cieņas aizskaršanu par nepatiesu apsūdzību, ka absolvents ir krāpnieks. Ja profesors aizstāv patiesību kā aizstāvību, viņam nevajadzētu ļaut iesniegt pierādījumus, kas ws that",absolvents faktiski krāpās ar eksāmenu izklaides tiesību klasē.,"cits profesors viņam pastāstīja, ka absolvents ir krāpies ar admiralitātes likuma gala eksāmenu.","jurisprudences atziņas liecināja, ka absolvents iesniedzis plaģiāta darbu tiesvedības instancē.","absolventa klasesbiedru reputācija bija tāda, ka viņš bieži krāpās juridiskās skolas eksāmenos.",B,professional_law,581professional_law
