Unnamed: 0,Question,A,B,C,D,Answer,Subject
307,"Ja psihologs kriminālprocesā darbojas gan kā prasītāja fakta liecinieks, gan kā tiesas eksperts, viņš ir rīkojies:","neētiski, pieņemot divējādas lomas.","ētiski, kamēr viņai nav bijušas iepriekšējas attiecības ar prasītāju.","ētiski, ja vien viņa noskaidro savas lomas ar visām pusēm.","ētiski, kamēr viņa no tiesas saņem atteikšanos.",C,professional_psychology
223,"Kādā veidā terorisma perspektīva ietekmē atbildi, ko valdība veiks?","Slimības receptes ietvaros reformu paketes kļūst par daļu no valdības reakcijas, lai samazinātu teroristu grupas pievilcību iedzīvotāju vidū. Tomēr reformas var mudināt teroristus turpināt savas vardarbīgās darbības, jo viņi tiek atalgoti. Šādos apstākļos reformas var kļūt par koncesijām, kas veicina vardarbību, nevis mehānismu tās izbeigšanai. Ir arī skaidrs, ka reformas nevar novērst terorisma klātbūtni.","Mūsdienu reakcija uz terorismu ir notikusi kara pret terorismu analoģijas kontekstā, kurā prevalē atriebības un soda normas. Šajā skatījumā netiešs ir pamatojums preventīvai rīcībai, kas vērsta pret mācību telpām, galveno biroju, finansējuma avotiem un pat galveno personu slepkavībām.","Lai gan kara analoģija dažkārt paredz atturēšanu, atturēšana ir svarīgāka tiesu sistēmai. Parastā krimināltiesiskā kontekstā pieejamais pirmpirkuma apmērs ir aizdomās turēto aizturēšana vai vajāšana tiesā.","Visas šīs iespējas. Atbildes uz teroristu uzbrukumiem tieši vai netieši atšķiras, ja karadarbība tiek uzskatīta par karadarbību, noziegumu vai slimību.",D,security_studies
608,"Džordžs tika apsūdzēts pazīstama noziedznieka slepkavībā. Cietušais tika atrasts nošauts savā automašīnā. Vienīgais šaušanas liecinieks bija upura mājdzīvnieka papagailis, kas tika atrasts, lidinoties virs upura ķermeņa, atkārtojot atkal un atkal: ""Džordž, nevajag... Džordžs to nedara. ""Lai pierādītu upura slepkavas identitāti, prokuratūrai ir liecinieks, kas liecina, ka slepkavības laikā viņš bija šajā rajonā un dzirdēja upura papagaili saucam Džordža vārdu. Labākais iebildums pret liecībām ir tas, ka tā ir",noklausīšanās.,nav nozīmes.,viedokļu liecības.,pašapkalpošanās.,B,professional_law
118,"Vai valstis var paļauties uz saviem iekšējiem tiesību aktiem kā attaisnojumu, lai pārkāptu savas saistības saskaņā ar starptautiskajām tiesībām?",Vietējās tiesības vienmēr ir svarīgākas par starptautiskajām tiesībām,Tikai starptautiskās paražu tiesības prevalē pār vietējām tiesībām,Pienākumi saskaņā ar starptautiskajām tiesībām prevalē pār vietējām tiesībām,Konstitucionālie pienākumi vienmēr prevalē pār starptautiskajās tiesībās noteiktajiem pienākumiem,C,international_law
82,"30 gadus veca sieviete, kas nav dzemdējusi, ierodas birojā ar sūdzību par garastāvokļa izmaiņām. Viņa saka, ka pēdējos mēnešus viņa ir bijusi satraukta, hiperaktīva un nespēj gulēt 3 līdz 4 dienas pirms menstruāciju sākuma. Viņa arī ziņo, ka dienā, kad sākas menstruācijas, viņa kļūst akūti depresīva, anorektiska, uzbudināma un letarģiska. Viņai nav psihiatriskas vēstures. Fiziskās izmeklēšanas rezultāti ir normāli. Viņa ar vīru mēģina ieņemt bērnu jau vairāk nekā 2 gadus. Vēsturnieks y atklāj tuboplastiku aptuveni pirms 1 gada, lai labotu slēgtu olvadu. Visticamākā diagnoze ir",pielāgošanās traucējum ar nomāktu garastāvokli;,"i tipa bipolāri traucējumi, jaukti",ciklotimiska personība,Ģeneralizēta trauksme,A,professional_medicine
80,"Kādā leņķī pret horizontāli vajadzētu palaist ideālu šāviņu, lai tā horizontālā pārvietošanās (diapazons) būtu vienāda ar tā maksimālo vertikālo pārvietošanos?",sin–1 (1/g),cos–1 (1/g),45,iedegums-1 4,D,high_school_physics
76,"Poliovīruss var visvieglāk kļūt virulents, izmantojot kādu no šiem procesiem?",RNS genoma mutācija tikai dažās pozīcijās,Atkārtota kombinācija ar citu enterovīrusu,Olbaltumvielu pārklājuma maiņa,Vairākas nukleotīdu dzēšanas un aizvietošanas,A,virology
229,Amerikas Savienoto Valstu iesaistīšanās Vjetnamas karā eskalācijas juridiskais pamats bija,kongresa kara pieteikums,kongresa pieņemtā Tonkinas līča rezolūcija,"Apvienoto Nāciju Organizācijas rezolūcija, kurā nosodīts Ziemeļvjetnamas iebrukums Dienvidvjetnamā",ziemeļatlantijas līguma organizācijas (NATO) savstarpējās aizsardzības noteikumi,B,miscellaneous
1137,"15 gadus vecs nepilngadīgais, kurš izskatās vecāks par saviem gadiem, iegādājās automašīnu no privāta pārdevēja. Nepilngadīgais samaksāja 2000 $ un piekrita samaksāt atlikušos 4000 $ pa daļām nākamo divu gadu laikā. Nepilngadīgajam bija jābūt automašīnai darbam, jo viņam nebija citu atbalsta līdzekļu. Vēlāk nepilngadīgais ietriecās automašīnā negadījumā. Viņš neapstiprināja līgumu, atdeva bojāto automašīnu un pieprasīja atmaksāt pirmo iemaksu. Vai pārdevējam ir tiesības saņemt atlīdzību šajā jautājumā?","Pārdevējam nav jāatdod pirmā iemaksa, jo nepilngadīgais ir paziņojis, ka nepiekrīt līgumam.",Pārdevējs nevar paturēt pirmo iemaksu un nevar gūt nekādu citu labumu no darījuma.,"Pārdevējs var iesūdzēt nepilngadīgo tiesā par sagrozītu informāciju un krāpšanu, neatklājot viņa vecumu pirms automašīnas iegādes.",Pārdevējs restitūcijas prasībā var iegūt tikai saprātīgu automašīnas lietošanas vērtību.,D,professional_law
138,"Kad skābeklis kļūst nepieejams, šis process reģenerē NAD +, ļaujot turpināt elpošanu.",Glikolīze,Ķīmiozmoze,Fermentēšana,Kalvina cikls,C,high_school_biology
