,Question,A,B,C,D,Answer,Subject
174,Which of the following items below is NOT considered a barrier to the diffusion of an innovation?,Internet,Distance,Cultural obstacles,Government interference,A,high_school_geography
66,"When we convert total number of errors on a test to percent correct, or vice versa, we are performing which type of transformation",Linear,Nonlinear,Curvilinear,Cumulative,A,professional_psychology
62,"Both over-the-counter niacin and the prescription drug Lipitor are known to lower blood cholesterol levels. In one double-blind study Lipitor outperformed niacin. The 95% confidence interval estimate of the difference in mean cholesterol level lowering was (18, 41). Which of the following is a reasonable conclusion?","Niacin lowers cholesterol an average of 18 points, while Lipitor lowers cholesterol an average of 41 points.",There is a 0.95 probability that Lipitor will outperform niacin in lowering the cholesterol level of any given individual.,There is a 0.95 probability that Lipitor will outperform niacin by at least 23 points in lowering the cholesterol level of any given individual.,None of the above.,D,high_school_statistics
119,Noam Chomsky and B. F. Skinner disagreed about how children acquire language. Which of the following concepts is most relevant to the differences between their theories?,phonemes,morphemes,linguistic relativity hypothesis,language acquisition device,D,high_school_psychology
47," According to Huemer, even if drug use harms a person's friends, families, and other relations,",this would still not justify drug prohibition.,this would justify drug prohibition.,this would only justify drug prohibition if drug use was extremely likely to cause these harms.,this would only justify drug prohibition if drug use was more likely to cause these kinds of harms than other prohibited activity.,A,moral_disputes
4,In what situation are closed pouches applied?,The patient has a semi-formed or liquid output.,The patient has a colostomy.,In the immediate post-operative period.,The patient has a urostomy.,B,clinical_knowledge
631,What is the name of the baby who appears in cartoons and comic strips with Popeye the Sailor?,Pun'kin,Lamikins,Suga'baby,Swee'pea,D,miscellaneous
1015,"A federal grand jury was convened to investigate the alleged bribery by a foreign government of a special adviser to the President. The grand jury was probing the foreign government's efforts to obtain delivery of transport planes, which were embargoed by the State Department. The Justice Department was trying to ascertain whether the foreign government had offered bribes to the special adviser and other members of the U. S. government in order to secure delivery of the transport planes. The special adviser testified before the grand jury that both he and the President had several conferences with the foreign government's ambassador to the United States. He stated that during these meetings, they discussed problems in their region in general. He denied, however, any involvement in the foreign government's efforts to secure delivery of the transport planes. Two weeks after the special adviser testified, the grand jury returned an indictment, charging him and two other members of the President's staff with conspiracy to commit bribery and conspiracy to defraud the U. S. government. A special prosecutor was then appointed by the Justice Department to prepare the government's case. Upon motion by the special prosecutor, a subpoena duces tecum was issued directing the President to produce the minutes of his meetings with the special adviser and ambassador of the foreign government. The special prosecutor was able to determine the exact dates of the meetings through appointment records that had been previously subpoenaed. The President released several edited transcripts of these conversations. On the same day, the President's counsel filed a motion to quash the subpoena duces tecum, claiming an absolute executive privilege. Which of the following is the most accurate statement with regard to the President's claim of executive privilege?","Under the separation of powers doctrine, the federal judiciary is without authority to review an assertion of executive privilege by the President.",The need for the confidentiality of high-level communications will sustain an absolute unqualified presidential privilege of immunity from judicial process on all occasions.,Article III does not vest the federal courts with power to resolve an intrabranch dispute.,"Article II does not vest the President with an absolute, unqualified privilege to withhold evidence from a criminal prosecution.",D,professional_law
1418,"A defendant was arrested at an airport when the small suitcase he was carrying was found to contain heroin. The defendant, who did not challenge the legality of the airport search, was subsequently prosecuted for possession of heroin. At trial, the defendant testified on his own behalf and said that the suitcase belonged to his girlfriend who was accompanying the defendant when he was arrested. The girlfriend died in a skydiving accident two weeks before the defendant's trial. Moreover, the defendant testified that although he was a former heroin addict, he had not used any heroin in the past three years. On cross-examination, the prosecuting attorney asked the defendant to roll up the sleeves of his shirt and exhibit his arms to see if there were any needle marks. This request is","objectionable, because the defendant has a privilege against self-incrimination.","objectionable, because the probative value is substantially outweighed by the danger of unfair prejudice.","permissible, because such evidence is relevant to the defendant's credibility.","permissible, because the defendant waived his privilege against self-incrimination by taking the stand.",C,professional_law
581,"A recent law school graduate applied for a legal position with a law firm. A senior partner in the law firm contacted a professor at the law school seeking information about the graduate's qualifications. The professor replied, ""Don't be misled by that A' I gave the graduate in entertainment law. I later found out that he had obtained the grade by cheating. ""The graduate soon received a letter from the law firm notifying him that he was not suitable to become a member in the prestigious tradition of the firm. After the graduate received the rejection letter, he phoned the senior partner to inquire why he was not suitable for employment. The senior partner told him what the professor had said and then stated, ""We do not hire cheaters who are dumb enough to get caught. ""The graduate brings suit against the professor for defamation for falsely charging the graduate with being a cheater. If the professor pleads truth as a defense, he should not be permitted to introduce evidence that shows that","the graduate did, in fact, cheat on an examination in the entertainment law class.",another professor told him that the graduate had cheated on an admiralty law final examination.,the findings of the law school indicated that the graduate had submitted a plagiarized paper in a moot court brief.,the reputation among the graduate's fellow classmates was that he frequently cheated on law school examinations.,B,professional_law
88,"With regard to the effects of crowding, which of the following is true?",Men are more likely than women to act aggressively in crowded conditions.,Men are less likely than women to be stressed by crowded conditions.,Men and women are equally likely to react negatively to crowded conditions.,Men and women react aggressively to crowded conditions to about the same degree,B,professional_psychology
