Unnamed: 0,Question,A,B,C,D,Answer,Subject
160,"This question refers to the following information.
""We have witnessed for more than a quarter of a century the struggles of the two great political parties for power and plunder, while grievous wrongs have been inflicted upon the suffering people. We charge that the controlling influences dominating both these parties have permitted the existing dreadful conditions to develop without serious effort to prevent or restrain them. Neither do they now promise us any substantial reform. They have agreed together to ignore, in the coming campaign, every issue but one. They propose to drown the outcries of a plundered people with the uproar of a sham battle over the tariff, so that capitalists, corporations, national banks, rings, trusts, watered stock, the demonetization of silver and the oppressions of the usurers may all be lost sight of. They propose to sacrifice our homes, lives, and children on the altar of mammon; to destroy the multitude in order to secure corruption funds from the millionaires.
""Assembled on the anniversary of the birthday of the nation, and filled with the spirit of the grand general and chief who established our independence, we seek to restore the government of the Republic to the hands of 'the plain people,' with which class it originated. We assert our purposes to be identical with the purposes of the National Constitution; to form a more perfect union and establish justice, insure domestic tranquillity, provide for the common defence, promote the general welfare, and secure the blessings of liberty for ourselves and our posterity.""
Populist Party Platform, 1892
Which of the following was most directly a cause of the success of the Populist party?",Western farmers and ranchers favored conservation and organized to promote the National Parks system.,The growth of corporate power and banking interests inspired rural activists to lobby for political reform.,Western farmers resisted the mechanization of agriculture and resented government interference in rural affairs.,"After the Civil War, westward migration slowed, causing a long-term recession in many Western territories.",B,high_school_us_history
200,The collision theory of reaction rates does not include,the number of collisions per second,the transition state,the energy of each collision,the orientation of each collision,B,high_school_chemistry
133,Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,miscellaneous
84,Smile Inc. purchased a computer on May 1 for $12000 with an estimated salvage value of $1500 and a 3-year life. What is the depreciation expense for the year ended December 31 using the double-declining method of depreciation?,"$8,000","$7,000","$5,333",4667,C,professional_accounting
376,"A college student initiated a criminal case against his former roommate, claiming the former roommate snuck in and removed his state-of-the-art home theater equipment from his house. The college student took the complaint papers that were approved by the prosecution and filed them with a magistrate court. An ongoing police investigation later determined, however, that the college student was a vengeful person not averse to creating stories, and that he and the former roommate had been arguing over several related issues. They also determined that he never had any quality sound or video equipment. The police dropped the prosecution, and the criminal case was dismissed at the preliminary hearing. When the former roommate filed a civil case against the college student alleging the tort of malicious prosecution, will evidence of the student's reputation for dishonesty be admissible and why?","Yes, because dishonesty at any time in the past is always relevant to a malicious prosecution complaint.","Yes, because even though character evidence is too collateral to be admitted for circumstantial evidence, it is admissible if it is directly at issue in the case.","Yes, because reputation evidence, just like most character evidence, is virtually always admissible.","Yes, because while most character evidence is not admissible, some is, and reputation evidence is always admissible.",B,professional_law
554,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often sell used books online that I found on my bookshelf. Scenario 2 | I scratched her wound.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios
93,Which of the following was not cited as evidence for life in the martian meteorite ALH84001?,Complex organic molecules specifically PAHs,Magnetite grains similar to those formed by bacteria on Earth,Carbonate minerals indicating a thicker warmer Martian atmosphere,"Amino acids with a preferred orientation or ""chirality""",D,astronomy
28,"A 3-year-old white girl is brought to the office by her parents for a follow-up visit 48 hours after receiving a 5-TU PPD skin test. The test was done as part of a routine screening for enrollment in a homeless shelter. Physical examination shows 10 mm of induration at the puncture site; the examination is otherwise normal. The parents tell you they are shocked by this finding since both of their skin tests were nonreactive. They say they were born in this country and tell you that their daughter has always been in good health. She has not had much medical care in the past 2 years but she has been healthy. Until moving into this shelter they had been ""squatters"" in vacant buildings. Which of the following is the most appropriate step at this time?",Call her previous physician to obtain more history,Order a chest x-ray,Order a test for HIV antibody,Repeat the PPD skin test,B,professional_medicine
295,What is the world‚Äôs most venomous fish?,Scorpion fish,Lion fish,Stonefish,Toadfish,C,miscellaneous
23,Which of the following is expected to be the least soluble in water?,NaBr,NiSO3,CrCl3,Mn(NO3)2,B,high_school_chemistry
1251,"A 2-week-old baby had developed a severe case ofjaundice. A pediatrician informed the infant's father that unless his daughter received immediate medical treatment, she would die. The father, who was very religious, refused to permit the pediatrician to administer the necessary treatment. He explained that his faith in his religion would restore his daughter to good health. As a consequence, the pediatrician sought an order from the state court, where the father was present, permitting the pediatrician to provide the necessary medical treatment to the infant. Which of the following is the father's strongest constitutional argument against the court order?",The order violates the due process clause of the Fourteenth Amendment.,The order violates the equal protection clause of the Fourteenth Amendment.,"The order violates the free exercise clause of the First Amendment, as incorporated by the Fourteenth Amendment.",The order violates the privileges or immunities clause of the Fourteenth Amendment.,C,professional_law
151,Which of the following defenses is likely to be successful in a suit alleging negligence by a CPA?,Due care.,Ignorance of the law.,Lack of intent.,Lack of mental capacity.,A,professional_accounting
41,Fallacies can be psychologically persuasive even though they are...,Psychologically impotent,Logically flawed,Deductively valid,Inductively valid,B,logical_fallacies
75,In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D,electrical_engineering
107,Recent research with stone tool replication and brain imaging suggests the following hypothesis:,connections made in tool making prepared the brain for the production and use of language.,tool making requires cooperation that can only exist with language.,tool making originated millions of years after language evolved.,connections made between the brain and bipedal locomotion prepared the hands for tool making.,A,prehistory
262,Which of the following is the strongest evidence of a patient's addiction to a substance,Physiological tolerance and withdrawal,A positive urine test for the substance,Serious occupational impairment,Denial of any involvement with the substance,A,professional_psychology
113," Which type of research methods are designed to elicit responses to predetermined, standardized questions from many respondents?",Quantitative.,Qualitative.,Non-probability.,Probability.,A,marketing
257,Ms. Fisher used the expression (6 × 8) × 12 to find the total number of markers needed for her students’ art project. Which expression is equal to the one used by Ms. Fisher?,6 + (8 + 12),6 + (8 × 12),6 × (8 + 12),6 × (8 × 12),D,elementary_mathematics
15,Habermas distinguishes between 'law as medium' and 'law as institution'. Which statement below most accurately describes this distinction?,"Law as medium' describes law as a body of formal, general rules that control the state and the economy; 'law as institution' inhabits the 'lifeworld' and expresses its shared values and norms in institutional form.",Law as medium' consists of the manner in which law is presented by the media; 'law as institution' describes the courts.,Law as medium' concerns the manner in which the law expresses its rules in simplified terms; 'law as institution' refers to the formal declaration of laws by legislative bodies.,Law as medium' is defined as the intermediate stage of legal development; 'law as institution' is the advanced stage.,A,jurisprudence
5,Nagel claims that most skeptical arguments:,are the result of applying arbitrarily stringent standards.,are based on linguistic confusions.,are logically self-refuting.,grow from the consistent application of ordinary standards.,D,philosophy
558,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I met at the library to copy her completed homework. Scenario 2 | I'm a nurse.  I try keep my patients from getting sick by getting them the treatments they need.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios
46,"Of the following solutions, which will have the highest ionic strength? (Assume complete dissociation.)",0.050 M AlCl3,0.100 M NaCl,0.050 M CaCl2,0.100 M HCl,A,college_chemistry
796,"A shopper in a store sees that a display case is about to fall on a second shopper's head. The shopper does nothing to warn or assist the second shopper, who is a stranger to her. She could have taken action to protect the second shopper without harming herself. Did the shopper have a duty to take action to try and protect the second shopper from injury?","No, there is no duty for a shopper to render assistance to a stranger even if it can be done without hurting herself.","Yes, the fact that a person sees that action is needed for another's aid or protection does impose a legal duty to act.","No, a failure to act does not and cannot result in liability under any circumstances.","Yes, the shopper must take action under the ""last clear chance"" doctrine.",A,professional_law
